Class: Chrome_WidgetWin_1 | ID:  | Name: about:blank - Google Chrome | ControlType: ControlType.Window
            Class: MultiContentsView | ID:  | Name:  | ControlType: ControlType.Pane
              Class: MultiContentsBackgroundView | ID:  | Name:  | ControlType: ControlType.Pane
              Class: Chrome_WidgetWin_1 | ID:  | Name:  | ControlType: ControlType.Pane
                Class: WebView | ID: view_1034 | Name:  | ControlType: ControlType.Document
                  Class: NativeViewHost | ID:  | Name:  | ControlType: ControlType.Pane
                Class: ScrimView | ID:  | Name:  | ControlType: ControlType.Pane
                Class: Chrome_RenderWidgetHostHWND | ID: 622 | Name: Chrome Legacy Window | ControlType: ControlType.Pane
                  Class:  | ID: RootWebArea | Name:  | ControlType: ControlType.Document
                    Class:  | ID: preact-border-shadow-host | Name:  | ControlType: ControlType.Group
                      Class:  | ID: preact-border-container | Name:  | ControlType: ControlType.Group
                Class: ContentsSeparator | ID:  | Name:  | ControlType: ControlType.Pane
                Class: NewTabFooterWebView | ID:  | Name:  | ControlType: ControlType.Document
                  Class: NativeViewHost | ID:  | Name:  | ControlType: ControlType.Pane
                Class: WatermarkView | ID:  | Name:  | ControlType: ControlType.Pane
                Class: ScrimView | ID:  | Name:  | ControlType: ControlType.Pane
                Class: NativeViewHost | ID:  | Name:  | ControlType: ControlType.Pane
                Class: WebView | ID:  | Name:  | ControlType: ControlType.Document
                  Class: NativeViewHost | ID:  | Name:  | ControlType: ControlType.Pane
                Class: MultiContentsViewMiniToolbar | ID:  | Name:  | ControlType: ControlType.Pane
                  Class: Label | ID:  | Name: about:blank | ControlType: ControlType.Text
                  Class: ImageButton | ID:  | Name: Arrange split view | ControlType: ControlType.Button
                Class: ContentsContainerOutline | ID:  | Name:  | ControlType: ControlType.Pane
              Class: MultiContentsResizeArea | ID:  | Name:  | ControlType: ControlType.Separator
                Class: MultiContentsResizeHandle | ID:  | Name: Split View Resize Handle (draggable) | ControlType: ControlType.Slider
              Class: Chrome_WidgetWin_1 | ID:  | Name:  | ControlType: ControlType.Pane
                Class: WebView | ID: view_1034 | Name:  | ControlType: ControlType.Document
                  Class: NativeViewHost | ID:  | Name:  | ControlType: ControlType.Pane
                Class: ScrimView | ID:  | Name:  | ControlType: ControlType.Pane
                Class: ContentsWebView | ID: view_1033 | Name:  | ControlType: ControlType.Document
                  Class: NativeViewHost | ID:  | Name:  | ControlType: ControlType.Pane
                Class: ContentsSeparator | ID:  | Name:  | ControlType: ControlType.Pane
                Class: NewTabFooterWebView | ID:  | Name:  | ControlType: ControlType.Document
                  Class: NativeViewHost | ID:  | Name:  | ControlType: ControlType.Pane
                Class: WatermarkView | ID:  | Name:  | ControlType: ControlType.Pane
                Class: ScrimView | ID:  | Name:  | ControlType: ControlType.Pane
                Class: NativeViewHost | ID:  | Name:  | ControlType: ControlType.Pane
                Class: WebView | ID:  | Name:  | ControlType: ControlType.Document
                  Class: NativeViewHost | ID:  | Name:  | ControlType: ControlType.Pane
                Class: MultiContentsViewMiniToolbar | ID:  | Name:  | ControlType: ControlType.Pane
                  Class: Label | ID:  | Name:  | ControlType: ControlType.Text
                  Class: ImageButton | ID:  | Name: Arrange split view | ControlType: ControlType.Button
                Class: ContentsContainerOutline | ID:  | Name:  | ControlType: ControlType.Pane
              Class: MultiContentsDropTargetView | ID:  | Name:  | ControlType: ControlType.Pane
                Class: View | ID:  | Name:  | ControlType: ControlType.Pane
                  Class: Label | ID:  | Name: Create split view | ControlType: ControlType.Text
              Class: ContentsSeparator | ID:  | Name:  | ControlType: ControlType.Pane
              Class: ContentsSeparator | ID:  | Name:  | ControlType: ControlType.Pane
              Class: ContentsSeparator | ID:  | Name:  | ControlType: ControlType.Pane
              Class: CustomFloatingCorner | ID:  | Name:  | ControlType: ControlType.Pane
            Class: View | ID: view_1035 | Name:  | ControlType: ControlType.Pane
            Class: View | ID:  | Name:  | ControlType: ControlType.Pane
          Class: SidePanel | ID:  | Name:  | ControlType: ControlType.Pane
            Class: ContentParentView | ID:  | Name:  | ControlType: ControlType.Pane
